DPM,LINK,CHAN,PLANE,STRIP,END
1,5,7,18,11,1
1,5,9,19,3,0
1,5,10,19,2,0
1,5,11,19,1,0
1,5,12,19,0,0
1,5,13,19,3,1
1,5,14,19,2,1
1,5,15,19,1,1
1,5,16,19,0,1
1,5,18,19,7,0
1,5,19,19,6,0
1,5,20,19,5,0
1,5,21,19,4,0
1,5,22,19,7,1
1,5,23,19,6,1
1,5,24,19,5,1
1,5,25,19,4,1
1,5,27,19,11,0
1,5,28,19,10,0
1,5,29,19,9,0
1,5,30,19,8,0
1,5,31,19,11,1
1,5,32,19,10,1
1,5,33,19,9,1
1,5,34,19,8,1
