layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample
9,0,0,760,-14.783824946982842,11.412708434296233,95
9,0,1,760,-2.1565628654782865,14.057870266267209,95
9,1,0,760,-4.0542495669064,15.577773730900285,95
9,1,1,696,9.197270445403657,16.628547016824463,87
9,2,0,808,-6.337337941922212,17.13553353497599,101
9,2,1,808,-7.205682198727455,15.068841010078327,101
9,3,0,760,0.8016777935432082,16.626917655085595,95
9,3,1,808,3.5382941934317294,13.772609486068905,101
9,4,0,808,0.3124991463264721,16.755633407856912,101
9,4,1,856,-2.626847324282241,10.86277324173831,107
9,5,0,856,6.50251611194491,11.145337243433653,107
9,5,1,856,4.075626820870487,12.409723769453063,107
9,6,0,808,-3.67390423448369,14.407653004239764,101
9,6,1,760,9.113636875281404,13.85416959966659,95
9,7,0,824,0.18419010435495145,13.589060045846203,103
9,7,1,792,3.9112424324220108,16.012283202837263,99
10,0,0,760,-15.506877799870637,14.56319927902626,95
10,0,1,728,-8.485027358011441,13.136222970537089,91
10,1,0,728,-5.055093279085632,13.807648018587468,91
10,1,1,856,-0.3535791314009346,14.479572646272413,107
10,2,0,760,30.291956745376684,15.33856538197662,95
10,2,1,728,2.5454322479525726,12.672974197443969,91
10,3,0,824,12.032271128220891,16.556684395436463,103
10,3,1,760,23.243282554898794,19.295931837747066,95
10,4,0,824,4.584097204305263,16.704502217992314,103
10,4,1,760,17.37779670918119,15.886274237100327,95
10,5,0,760,22.59662842648569,14.69201964647534,95
10,5,1,760,-10.113407319760087,12.293792551782827,95
10,6,0,760,-13.411135281321654,18.691748655038268,95
10,6,1,760,-3.8645701432410626,17.306835870423534,95
10,7,0,696,18.661648343953505,17.032632574700806,87
10,7,1,824,-6.355861785657601,16.248101796730527,103
10,8,0,760,2.808096891886809,10.907499726858878,95
10,8,1,744,-4.877171859061188,14.12741287355857,93
10,9,0,760,-8.538705478927666,8.676990899558023,95
10,9,1,760,-10.673567905612327,8.79957318384219,95
10,10,0,744,-2.8640155451761773,8.40588330569196,93
10,10,1,728,7.98623880608901,8.97043092240691,91
10,11,0,760,7.569517986789672,9.233802637511214,95
10,11,1,760,-4.068830394079643,7.780017205194772,95
